timestep,reward
2,2.408
2990,2.665
6042,2.971
8933,4.505
11775,5.216
14707,3.164
17381,4.731
20172,1.797
22905,2.082
25697,5.496
28395,3.04
31184,2.941
34159,4.249
37057,7.062
39859,5.058
42763,4.112
45711,5.465
48822,4.446
51893,3.998
55010,3.567
58131,3.08
61413,5.253
64714,6.983
68112,4.72
71432,5.696
74673,3.759
78083,4.038
81340,2.856
84586,1.035
88016,5.926
91458,7.198
94998,4.799
98699,3.705
102273,7.225
105790,4.703
109448,7.057
113125,7.028
116821,7.251
120503,6.954
124310,4.828
128062,5.689
131848,5.435
135786,5.522
139620,4.426
143578,8.39
147570,7.428
151548,7.023
155760,9.125
159960,9.411
164242,9.7
168469,6.169
172724,5.341
177039,9.524
181368,7.973
185526,10.242
189886,6.665
194181,4.778
198409,8.329
202663,11.279
206845,6.519
211132,8.917
215395,5.953
219526,7.158
223835,6.498
228198,5.822
232556,5.422
236626,7.38
240845,8.734
245051,4.965
249381,5.667
253519,5.785
257656,8.476
261924,9.057
266203,8.9
270366,11.665
274584,7.729
278769,7.692
283053,10.531
287230,11.145
291392,9.616
295611,7.601
299892,6.44
304185,13.066
308469,7.675
312749,12.113
316809,12.455
321070,7.447
325489,7.866
329841,9.046
334242,8.514
338594,10.004
342952,11.758
347261,8.593
351570,11.413
355801,10.293
360050,11.407
364307,7.809
368675,8.222
373045,8.096
377450,6.035
