timestep,reward
5,-0.546
2966,-1.716
6044,2.321
8987,0.57
12091,1.483
15218,3.723
18306,3.548
21352,1.43
24864,2.226
28130,5.96
30969,-1.346
33648,2.807
36217,5.207
38736,3.317
41292,4.364
43690,2.548
46272,4.707
48954,3.302
51611,1.831
54248,0.14
56951,2.125
59770,-0.544
62772,1.442
65642,2.135
68707,2.619
71789,2.296
75285,2.075
78615,1.615
82927,-1.815
87209,2.077
91914,6.692
96851,1.779
101597,-0.389
106696,3.407
112715,4.245
117318,1.078
122639,1.868
128186,4.365
133460,1.578
139750,3.507
145954,1.195
151147,0.557
156111,1.471
161966,2.218
167883,-0.66
174010,3.08
180389,2.357
187309,4.605
193336,4.529
199848,2.696
207149,0.765
214135,-1.22
221397,2.281
228895,1.854
237033,4.572
244245,-2.356
251121,-1.439
257911,3.41
264021,9.2
271015,3.817
278465,3.565
286743,2.187
294385,1.321
302090,1.274
309955,2.221
317452,2.62
323638,1.802
329919,3.66
337092,1.081
343378,2.273
350792,2.194
358647,5.539
366571,3.54
373121,6.52
379662,2.219
386460,4.378
394107,0.091
402152,4.484
409969,4.347
417093,4.784
424655,1.949
432691,0.361
440514,4.453
448558,6.688
456152,5.186
464994,8.985
473610,2.332
481759,0.895
490414,6.489
499028,4.12
507643,2.827
516224,5.48
525227,6.147
533618,7.015
542273,6.222
550735,2.501
559666,3.989
568346,4.86
576850,5.127
585315,2.478
