timestep,reward
2,0.853
304,1.603
612,1.966
892,4.237
1192,3.398
1491,2.48
1774,3.563
2071,-1.413
2358,-1.304
2668,3.011
2964,0.886
3267,3.637
3582,1.41
3852,3.186
4158,2.684
4425,0.033
4724,5.111
5057,3.536
5300,1.158
5588,3.539
5875,4.527
6140,1.578
6410,1.447
6710,5.864
7021,2.744
7330,-1.599
7604,5.868
7897,2.08
8185,-0.067
8462,0.897
8770,5.752
9077,1.157
9393,-0.3
9662,1.262
9951,1.524
10238,-0.998
10535,5.172
10808,-0.095
11117,1.079
11406,1.963
11723,1.705
11993,1.352
12297,-0.808
12623,-0.034
12919,3.206
13251,1.136
13577,0.037
13851,0.362
14147,1.08
14464,0.446
14762,-1.326
15076,1.461
15363,-1.538
15632,0.805
15921,2.764
16185,-2.425
16514,-2.136
16798,0.748
17103,0.845
17408,-0.654
17719,1.98
18022,-0.008
18352,0.002
18656,0.381
18931,-0.349
19207,-0.295
19490,0.997
19814,2.044
20125,-1.411
20447,0.507
20759,0.409
21040,3.089
21340,4.921
21651,4.288
21960,3.457
22245,1.02
22560,-1.549
22854,3.438
23173,0.5
23491,3.518
23818,0.815
24125,-0.862
24445,0.523
24732,3.159
25032,-0.043
25340,2.353
25642,2.171
25937,-0.57
26214,2.396
26500,2.7
26797,-0.529
27107,4.639
27433,3.496
27764,5.398
28085,2.363
28432,1.181
28746,4.101
29056,1.163
29358,-1.239
29676,-1.461
29994,0.565
30290,0.851
30611,-1.295
30933,0.224
31235,4.743
31561,0.547
31854,3.035
32188,7.251
32480,-2.969
32775,1.264
33096,0.485
33416,3.118
33744,5.202
34043,3.139
34351,-3.674
34689,3.001
34978,1.393
35335,2.854
35667,7.088
35971,3.905
36282,-1.5
36594,2.171
36920,0.816
37268,2.574
37604,1.482
37920,3.869
38229,3.533
38561,4.913
38896,2.119
39206,-3.714
39524,2.166
39803,1.431
40078,0.647
40397,1.668
40699,0.825
40985,3.479
41313,4.414
41614,6.04
41926,3.889
42244,-0.8
42548,3.04
42835,2.247
43163,-1.244
43471,0.974
43764,1.827
44084,2.085
44425,2.316
44737,2.582
45095,2.399
45377,2.697
45675,0.042
45963,4.414
46267,3.936
46615,2.688
46930,0.75
47239,1.188
47568,-1.566
47883,3.858
48187,2.56
48500,4.191
48830,2.28
49117,2.856
49412,3.837
49723,-1.385
50044,3.568
50348,3.155
50666,-2.012
50954,1.309
51283,3.23
51630,4.781
51910,1.332
52243,4.265
52536,1.685
52872,4.447
53216,5.384
53534,-0.295
53874,-0.007
54221,6.208
54536,-0.295
54847,1.623
55130,-2.13
55466,3.081
55809,4.058
56124,-2.974
56468,3.6
56777,2.789
57072,0.36
57406,7.239
57731,3.297
58036,-2.097
58342,2.758
58656,3.924
58979,2.3
59252,3.555
59555,3.381
59874,2.975
60203,0.517
60495,0.739
60820,2.145
61122,2.558
61417,1.479
61768,-0.875
62118,3.319
62435,-2.396
62725,1.169
63025,4.355
63334,2.404
63632,3.336
63945,-1.582
64268,5.231
64590,3.545
64896,7.684
65207,3.616
65499,2.426
65771,0.467
66090,1.682
66364,4.517
66658,4.625
66961,7.018
67276,2.373
67549,-0.339
67861,6.335
68189,-1.306
68501,5.416
68810,0.17
69108,3.909
69411,0.668
69696,2.629
70008,1.167
70341,6.936
70630,2.622
70965,2.814
71258,3.351
71530,4.058
71863,3.11
72145,-1.97
72454,0.741
72776,3.88
73062,6.208
73362,3.216
73685,6.843
73981,3.434
74275,3.628
74580,4.527
74865,3.506
75179,3.451
75466,2.529
75774,5.273
76061,0.919
76353,0.698
76661,5.116
76977,1.767
77301,1.684
77601,1.488
77916,2.29
78193,0.135
78502,3.966
78796,0.531
79063,0.709
79370,6.593
79707,2.92
80003,1.822
80316,3.463
80617,1.291
80925,1.615
81205,4.598
81484,2.621
81800,3.651
82133,3.468
82430,2.062
82733,1.404
83012,2.083
83314,1.976
83614,1.552
83921,0.263
84187,1.166
84492,-2.388
84795,0.421
85097,4.826
85386,1.834
85683,-1.315
85988,3.828
86290,-1.861
86583,-0.136
86877,-1.617
87167,6.324
87463,4.19
87778,-0.211
88069,2.297
88364,4.14
88644,-2.165
88960,-3.315
89278,-0.735
89573,3.006
89858,1.465
90186,0.389
90483,4.842
90811,2.926
91119,2.987
91400,4.473
91715,-0.237
92037,1.422
92311,3.625
92602,-1.541
92915,3.878
93189,5.499
93489,1.296
93771,3.138
94062,2.114
94359,-0.76
94633,2.769
94904,-0.021
95221,1.49
95474,-0.844
95769,0.024
96065,5.085
96350,3.7
96651,1.164
96932,1.782
97242,0.67
97541,1.99
97833,4.059
98123,-0.512
98412,1.418
98698,-2.464
98963,2.611
99260,3.405
99539,0.278
99845,6.083
100159,3.64
100433,2.474
100700,0.118
100977,0.997
101264,3.173
101535,2.432
101813,0.809
102097,1.126
102385,-1.363
102682,1.63
102955,-0.496
103256,0.591
103549,-0.839
103844,-1.089
104108,1.291
104384,-0.348
104688,0.923
104983,5.942
105257,2.502
105553,0.796
105874,2.404
106155,1.513
106442,-1.305
106715,-0.37
107002,0.291
107278,0.817
107558,1.152
107825,3.215
108115,-0.231
108417,-0.997
108673,3.18
108988,5.483
109298,-0.348
109572,-1.947
109896,0.035
110172,3.245
110475,0.753
110763,3.794
111038,6.152
111308,-0.645
111621,0.456
111919,5.381
112186,3.652
112458,2.356
112736,3.272
113004,0.613
113277,5.733
113552,3.611
113829,3.884
114135,2.976
114404,0.405
114689,2.898
114998,0.396
115277,1.298
115582,5.153
115867,0.155
116157,-0.922
116442,8.611
116711,-0.458
116981,2.505
117252,0.79
117533,3.37
117829,1.511
118110,5.847
118425,0.392
118707,4.012
118986,2.752
119252,0.192
119531,3.125
119800,-0.41
120078,0.089
120331,-3.038
120605,3.037
120894,-0.406
121159,3.579
121432,5.063
121706,-0.55
121959,1.736
122227,3.973
122510,4.687
122778,1.98
123036,-0.972
123314,2.649
123590,1.258
123864,-1.384
124144,1.506
124430,-0.241
124706,-1.345
124984,-0.607
125222,0.679
125485,0.737
125751,-0.295
125998,0.533
126267,-0.134
126543,1.698
126825,-1.433
127090,-0.786
127366,0.384
127632,-0.271
127904,-1.701
128172,-0.377
128417,-0.79
128695,-1.045
128986,-0.66
129254,2.084
129527,-1.436
129778,1.115
130050,0.921
130282,-1.725
130553,1.769
130837,-1.154
131070,-2.463
131326,-0.895
131605,0.766
131858,1.913
132112,-1.542
132363,-1.093
132590,-1.656
132838,-2.34
133063,-0.322
133322,-0.705
133588,0.152
133847,-0.022
134096,0.345
134353,-2.276
134619,-1.929
134835,0.162
135074,-0.951
135344,-0.477
135572,0.122
135824,-1.735
136084,-1.571
136334,-0.72
136568,-0.755
136797,-1.658
137029,-0.136
137269,-1.067
137509,-1.703
137753,-1.168
138005,-0.828
138245,-1.713
138514,-1.47
138756,-0.432
138998,-1.368
139234,-0.791
139458,-1.159
139698,-1.138
139912,-1.407
140144,-1.26
140366,-0.966
140603,-0.999
140843,-1.161
141086,-1.084
141339,-1.475
141570,-1.314
141839,-1.24
142071,-1.053
142275,-1.164
142536,-1.226
142772,-1.188
143002,-1.237
143236,-1.228
