timestep,reward
2,1.064
289,1.387
610,1.42
919,3.416
1218,5.316
1521,3.417
1817,2.516
2106,-0.244
2353,0.999
2599,4.335
2865,0.07
3169,1.131
3472,4.159
3760,3.555
4075,-0.418
4355,3.641
4644,4.505
4946,4.566
5234,3.87
5528,2.872
5810,1.017
6105,2.198
6408,5.043
6699,4.138
6982,3.56
7316,2.682
7617,4.228
7959,3.513
8233,2.45
8532,3.335
8827,7.202
9126,4.209
9449,1.079
9734,2.932
10049,5.032
10323,3.46
10626,5.696
10906,4.897
11236,6.419
11519,3.784
11779,0.616
12048,5.478
12363,-0.055
12700,4.103
13014,2.859
13305,3.499
13591,1.863
13868,4.488
14150,5.335
14446,4.819
14771,5.633
15076,3.087
15391,5.653
15693,3.755
15988,5.159
16256,3.313
16593,0.413
16895,3.541
17201,3.361
17516,5.935
17777,4.886
18068,4.547
18381,4.902
18701,5.114
19015,0.63
19318,3.558
19629,4.171
19941,3.37
20245,3.551
20541,3.994
20864,4.847
21185,7.484
21514,7.781
21827,5.32
22166,3.064
22488,5.868
22802,1.171
23110,7.177
23431,2.962
23763,6.738
24083,4.504
24396,2.765
24750,4.376
25104,2.771
25479,5.272
25797,6.183
26109,6.857
26439,4.212
26749,5.409
27061,6.096
27393,7.125
27743,6.347
28083,5.554
28414,7.13
28743,7.369
29045,9.1
29379,5.608
29702,2.176
30020,4.97
30362,4.41
30699,2.98
31032,3.848
31331,9.187
31647,3.763
31970,7.32
32333,6.077
32686,7.287
33034,3.359
33407,1.929
33736,1.21
34067,4.752
34404,6.057
34736,4.762
35079,5.737
35435,7.388
35798,7.639
36127,7.574
36493,6.091
36853,8.442
37224,8.527
37583,4.6
37910,6.309
38282,4.61
38658,6.474
39011,4.202
39395,5.675
39730,4.866
40105,7.19
40492,4.908
40854,2.493
41254,4.768
41622,5.556
42017,6.083
42347,5.528
42709,8.658
43056,8.69
43415,7.419
43760,9.463
44112,6.535
44506,3.643
44875,7.806
45251,9.539
45646,1.724
46000,4.127
46406,3.274
46735,5.857
47097,5.007
47460,8.121
47848,9.199
48248,5.887
48631,6.647
49026,6.752
49426,9.787
49856,8.679
50212,7.459
50588,6.347
50999,3.905
51393,7.719
51763,7.907
52124,6.154
52495,9.342
52880,6.73
53329,9.707
53719,6.837
54104,9.076
54509,7.429
54901,6.288
55296,2.403
55683,7.962
56084,8.764
56459,6.841
56844,9.046
57248,8.682
57628,7.327
58074,5.708
58457,5.176
58832,7.703
59198,5.111
59630,8.93
60034,6.646
60428,4.655
60845,7.502
61231,9.182
61614,4.022
61992,7.338
62365,7.252
62760,9.893
63131,9.394
63572,7.262
63978,6.676
64375,8.11
64781,11.921
65198,7.337
65644,12.582
66061,9.521
66449,7.892
66829,9.48
67261,5.49
67714,7.675
68125,9.932
68558,5.637
68968,8.643
69390,4.926
69795,5.114
70225,8.834
70637,6.519
71036,10.532
71448,3.319
71860,8.857
72259,10.334
72650,6.896
73115,11.632
73505,5.208
73885,4.862
74297,7.687
74722,4.871
75129,9.719
75528,10.697
75934,11.153
76363,7.523
76767,3.354
77165,8.594
77568,9.174
78010,6.234
78395,8.675
78797,8.168
79216,7.029
79604,6.028
80021,7.045
80397,11.081
80760,7.67
81151,8.249
81568,9.341
81982,7.577
82351,7.031
82763,6.343
83150,6.984
83563,8.598
83949,10.142
84361,8.957
84782,7.193
85180,9.429
85578,8.932
85983,7.777
86429,10.383
86863,7.542
87237,9.493
87634,8.555
88011,9.079
88388,8.319
88794,8.299
89150,6.387
89535,6.94
90003,9.335
90428,5.954
90864,6.421
91267,6.257
91661,5.528
92030,9.892
92389,10.393
92827,10.027
93228,7.204
93607,9.294
94023,5.245
94394,9.75
94845,9.565
95247,10.593
95664,13.089
96040,8.179
96517,8.522
96911,6.155
97334,11.282
97720,8.754
98130,8.227
98512,8.574
98898,6.295
99317,6.238
99752,7.114
100189,6.297
100568,9.447
100949,7.433
101390,6.003
101803,6.316
102198,7.804
102589,3.511
102986,12.171
103408,8.098
103788,7.263
104229,8.1
104627,10.248
105018,4.57
105420,7.693
105830,3.841
106274,7.649
106690,7.118
107112,4.175
107528,5.864
107928,7.461
108291,6.362
108699,10.915
109135,7.748
109536,7.167
109935,5.642
110335,4.718
110821,6.037
111234,9.964
111640,7.714
112029,7.622
112382,6.279
112802,6.878
113170,9.87
113617,5.268
114014,8.036
114423,6.399
114867,6.752
115291,9.051
115715,7.51
116097,9.725
116491,7.543
116890,7.633
117299,10.781
117710,7.915
118148,8.716
118612,7.793
119040,2.707
119437,5.982
119835,10.551
120314,7.472
120744,10.652
121176,6.882
121590,8.93
121977,5.978
122408,4.883
122828,9.448
123248,10.367
123626,9.183
124055,9.51
124447,6.599
124850,7.132
125288,8.567
125710,6.239
126104,5.646
126499,5.798
126915,9.278
127352,7.935
127768,5.391
128174,10.418
128622,9.446
129034,12.542
129432,9.219
129844,10.041
130294,8.546
130715,8.04
131154,9.304
131615,8.047
132037,9.166
132436,6.267
132826,5.974
133264,6.787
133677,10.646
134123,9.739
134521,6.387
134923,7.951
135314,7.033
135715,8.781
136139,7.623
136569,7.476
136965,8.444
137355,4.734
137793,7.396
138159,11.417
138596,11.509
139034,7.921
139488,7.975
139916,8.462
140327,5.875
140749,8.826
141195,7.207
141605,6.464
141982,5.45
142392,6.456
142838,6.414
143252,5.97
143652,8.365
144037,10.777
144420,6.273
144790,8.555
145215,5.231
145625,9.866
146026,6.576
146429,8.72
146816,6.521
147227,7.992
147643,6.577
148042,7.452
148477,9.051
148908,2.34
