timestep,reward
5,-0.546
2966,-1.716
6104,0.225
9036,-0.019
12116,1.485
15059,-0.158
18057,1.082
21380,2.759
25295,-0.897
29290,8.845
32761,-3.386
36177,3.168
39665,4.613
43339,1.17
46918,1.917
50756,0.907
54632,7.619
58422,4.096
62514,2.128
66420,1.226
70334,4.554
74881,1.772
79266,2.727
83683,8.025
89307,4.363
94612,-1.479
100531,2.165
106604,3.344
112845,-0.205
118958,1.451
125461,6.888
130931,3.962
136811,3.117
144165,2.412
150604,2.678
157239,2.265
163258,3.712
169592,5.8
176072,5.749
183136,2.968
189594,5.031
196768,3.419
203859,0.734
210403,-0.625
216448,1.806
223622,5.621
231350,2.448
238539,2.37
245704,1.223
252624,4.162
260456,-2.255
267743,2.869
274711,-0.113
282371,3.381
289643,9.821
297818,1.244
306082,3.163
314229,5.536
322501,7.102
330403,4.121
338572,4.945
346893,3.55
355305,7.343
363939,1.723
372773,2.206
381157,5.806
388718,2.604
396585,3.046
404380,2.68
412267,2.056
420457,4.17
428030,6.6
436116,5.408
444200,4.09
452180,5.987
460231,4.41
468546,2.85
476911,9.012
484942,5.709
493083,2.885
501175,6.137
509285,-0.944
517388,3.39
525779,2.069
533542,5.092
541735,8.474
550676,2.364
559288,4.501
567606,4.8
575711,3.084
584231,5.774
592916,6.157
601313,7.579
609785,8.274
618594,6.561
627439,2.217
636040,5.724
644536,1.302
653072,4.313
662052,1.352
